Participant Name,Participant Short Name
RUHR-UNIVERSITAET BOCHUM,RUB
UNIVERSITÁ DI PISA,UNIPI
UNIVERSITÁ DEGLI STUDI DI BRESCIA,UNIBS
BAYERISCHE AKADEMIE DER WISSENSCHAFTEN ,BADW
SCUOLA INTERNAZIONALE SUPERIORE DI STUDIA VANZATI,SISSA
UNIVERSITA DEGLI STUDI DI ROMA TOR VERGATA,UNITOV
CONSIGLIO NAZIONALE DELLE RICERCHE,CNR
INSTITUT NATIONAL POLYTECHNIQUE DE TOULOUSE,INPT
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE,CNRS
TECHNISCHE UNIVERSITAET MUENCHEN ,TUM
POLITECNICO DI MILANO,POLIMI
FRIEDRICH-ALEXANDER-UNIVERSITAET,FAU
FORSCHUNGSVERBUND BERLIN,FV-WIAS
EXACT LAB SRL,eXact LAB
Dualistic,Dualistic
VIRTUAL PHYSIOLOGICAL HUMAN INSTITUTE FOR INTEGRATIVE BIOMEDICAL RESEARCH,VPHi